Wed Oct  1 00:43:03 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [16, 15, 491, 638], 'height_m': 3.95885118925466, 'in_roi': True, 'key': (6, 15), 'timestamp': 1759261383.9104729}
Wed Oct  1 02:03:09 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [37, 56, 631, 640], 'height_m': 3.8278699574042734, 'in_roi': True, 'key': (8, 16), 'timestamp': 1759266189.6525755}
Wed Oct  1 02:03:15 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [83, 100, 558, 640], 'height_m': 3.6696117679508666, 'in_roi': True, 'key': (8, 16), 'timestamp': 1759266195.532754}
Wed Oct  1 02:03:21 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [13, 83, 639, 640], 'height_m': 3.73075697751241, 'in_roi': True, 'key': (8, 16), 'timestamp': 1759266201.2639756}
Wed Oct  1 02:03:26 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [14, 97, 639, 640], 'height_m': 3.6804020990499624, 'in_roi': True, 'key': (8, 16), 'timestamp': 1759266206.9136374}
Wed Oct  1 02:03:32 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [20, 104, 633, 640], 'height_m': 3.655224659818739, 'in_roi': True, 'key': (8, 16), 'timestamp': 1759266212.2333698}
Wed Oct  1 02:05:58 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [30, 71, 621, 640], 'height_m': 3.7739183019087936, 'in_roi': True, 'key': (8, 16), 'timestamp': 1759266358.5133417}
Wed Oct  1 02:06:04 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [9, 82, 625, 640], 'height_m': 3.7343537545454417, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759266364.9210458}
Wed Oct  1 02:06:09 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [4, 80, 605, 639], 'height_m': 3.7337726648533525, 'in_roi': True, 'key': (7, 15), 'timestamp': 1759266369.9654813}
Wed Oct  1 02:06:15 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [11, 77, 623, 640], 'height_m': 3.752337639710602, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759266375.853506}
Wed Oct  1 02:06:21 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [7, 63, 632, 639], 'height_m': 3.7947908194339885, 'in_roi': True, 'key': (7, 15), 'timestamp': 1759266381.4000793}
Wed Oct  1 02:06:26 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [45, 66, 632, 640], 'height_m': 3.7919021870739535, 'in_roi': True, 'key': (8, 16), 'timestamp': 1759266386.4474437}
Wed Oct  1 02:06:31 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [8, 74, 626, 640], 'height_m': 3.763127970809698, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759266391.9867027}
Wed Oct  1 02:06:37 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [13, 68, 629, 640], 'height_m': 3.78470863300789, 'in_roi': True, 'key': (8, 16), 'timestamp': 1759266397.6956177}
Wed Oct  1 02:45:39 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [32, 102, 627, 640], 'height_m': 3.6624182138848025, 'in_roi': True, 'key': (8, 16), 'timestamp': 1759268739.5173051}
Wed Oct  1 02:45:56 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [89, 87, 599, 639], 'height_m': 3.7086475423789724, 'in_roi': True, 'key': (8, 15), 'timestamp': 1759268756.809345}
Wed Oct  1 02:46:24 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [96, 119, 602, 639], 'height_m': 3.593789839638951, 'in_roi': True, 'key': (8, 15), 'timestamp': 1759268784.228598}
Wed Oct  1 02:46:32 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [306, 75, 639, 633], 'height_m': 3.705520483963558, 'in_roi': True, 'key': (11, 15), 'timestamp': 1759268792.1433098}
Wed Oct  1 02:46:37 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [305, 75, 639, 636], 'height_m': 3.728476728572522, 'in_roi': True, 'key': (11, 15), 'timestamp': 1759268797.7509108}
Wed Oct  1 02:46:43 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [12, 63, 628, 639], 'height_m': 3.7947908194339885, 'in_roi': True, 'key': (8, 15), 'timestamp': 1759268803.0099833}
Wed Oct  1 02:46:49 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [21, 80, 587, 640], 'height_m': 3.7415473086115063, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759268809.8381505}
Wed Oct  1 02:46:55 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [47, 111, 589, 640], 'height_m': 3.6300472205875147, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759268815.4726787}
Wed Oct  1 02:47:01 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [47, 109, 589, 639], 'height_m': 3.629682871745208, 'in_roi': True, 'key': (7, 15), 'timestamp': 1759268821.1749992}
Wed Oct  1 02:47:07 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [45, 106, 588, 640], 'height_m': 3.6480311057526746, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759268827.614865}
Wed Oct  1 02:47:13 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [2, 92, 597, 640], 'height_m': 3.6983859842151223, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759268833.189897}
Wed Oct  1 02:47:19 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [0, 89, 633, 640], 'height_m': 3.709176315314218, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759268839.5419917}
Wed Oct  1 02:47:26 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [324, 158, 640, 638], 'height_m': 3.446645154363535, 'in_roi': True, 'key': (12, 15), 'timestamp': 1759268846.5462766}
Wed Oct  1 02:57:41 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [4, 129, 604, 600], 'height_m': 3.2911827748680618, 'in_roi': True, 'key': (7, 15), 'timestamp': 1759269461.6888444}
Wed Oct  1 02:57:47 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [30, 83, 581, 631], 'height_m': 3.662127825141206, 'in_roi': True, 'key': (7, 15), 'timestamp': 1759269467.6965075}
Wed Oct  1 02:57:53 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [67, 82, 601, 637], 'height_m': 3.7111710100785276, 'in_roi': True, 'key': (8, 15), 'timestamp': 1759269473.1581435}
Wed Oct  1 02:57:58 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [64, 91, 596, 634], 'height_m': 3.6563027683073033, 'in_roi': True, 'key': (8, 15), 'timestamp': 1759269478.8399272}
Wed Oct  1 02:58:04 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [269, 88, 635, 635], 'height_m': 3.674516800823837, 'in_roi': True, 'key': (11, 15), 'timestamp': 1759269484.7402682}
Wed Oct  1 02:58:09 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [108, 138, 629, 632], 'height_m': 3.4750469413089338, 'in_roi': True, 'key': (9, 15), 'timestamp': 1759269489.8587868}
Wed Oct  1 03:03:22 2025 - EVENT - {'type': 'other_detected', 'class': 'person', 'bbox': [389, 115, 640, 639], 'height_m': 3.6081470524814536, 'in_roi': False, 'key': (12, 15), 'timestamp': 1759269802.1823592}
Wed Oct  1 03:03:29 2025 - EVENT - {'type': 'other_detected', 'class': 'person', 'bbox': [407, 112, 640, 636], 'height_m': 3.5964952514549102, 'in_roi': False, 'key': (13, 15), 'timestamp': 1759269809.888049}
Wed Oct  1 03:03:33 2025 - EVENT - {'type': 'other_detected', 'class': 'heron', 'bbox': [1, 7, 632, 638], 'height_m': 3.9875060723254925, 'in_roi': False, 'key': (7, 15), 'timestamp': 1759269813.908236}
Wed Oct  1 03:03:35 2025 - EVENT - {'type': 'other_detected', 'class': 'cat', 'bbox': [0, 21, 637, 638], 'height_m': 3.9373600269515365, 'in_roi': False, 'key': (7, 15), 'timestamp': 1759269815.9062793}
Wed Oct  1 03:03:39 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [6, 141, 599, 640], 'height_m': 3.5221439095965557, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759269819.1219027}
Wed Oct  1 03:03:44 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [0, 145, 621, 640], 'height_m': 3.507756801464428, 'in_roi': True, 'key': (7, 16), 'timestamp': 1759269824.304805}
Wed Oct  1 03:03:50 2025 - EVENT - {'type': 'other_detected', 'class': 'person', 'bbox': [393, 138, 640, 637], 'height_m': 3.5110019019018868, 'in_roi': False, 'key': (12, 15), 'timestamp': 1759269830.1272786}
Wed Oct  1 03:03:55 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [142, 5, 636, 636], 'height_m': 3.9781714150112464, 'in_roi': True, 'key': (9, 15), 'timestamp': 1759269835.5249112}
Wed Oct  1 03:03:55 2025 - EVENT - {'type': 'other_detected', 'class': 'heron', 'bbox': [0, 49, 631, 637], 'height_m': 3.829127805968334, 'in_roi': False, 'key': (7, 15), 'timestamp': 1759269835.9753006}
Wed Oct  1 03:04:01 2025 - EVENT - {'type': 'other_detected', 'class': 'person', 'bbox': [399, 113, 639, 638], 'height_m': 3.6078288716369658, 'in_roi': False, 'key': (12, 15), 'timestamp': 1759269841.0123672}
Wed Oct  1 03:04:08 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [183, 137, 630, 613], 'height_m': 3.3482878684360773, 'in_roi': True, 'key': (10, 15), 'timestamp': 1759269848.3194723}
Wed Oct  1 03:05:46 2025 - EVENT - {'type': 'person_in_roi', 'class': 'person', 'bbox': [20, 70, 589, 637], 'height_m': 3.754064390402094, 'in_roi': True, 'key': (7, 15), 'timestamp': 1759269946.455075}
